1,198,Same Wall
2,126,Random
3,129,Sudden Death
4,107,Random
5,75,Plus
6,251,Elemental
7,226,Elemental
8,251,Elemental
9,84,Plus
10,246,Elemental
11,189,Open
12,223,Same Wall
13,124,Random
14,28,Open
15,225,Elemental
16,135,Sudden Death
17,1,Open
18,191,Open
19,49,Same
20,222,Same Wall
21,86,Plus
22,114,Random
23,15,Open
24,71,Plus
25,103,Random
26,102,Random
27,135,Sudden Death
28,89,Plus
29,170,Open
30,136,Sudden Death
31,60,Same
32,89,Plus
33,234,Elemental
34,86,Plus
35,19,Open
36,123,Random
37,210,Same Wall
38,133,Sudden Death
39,161,Open
40,216,Same Wall
41,60,Same
42,84,Plus
43,85,Plus
44,47,Same
45,55,Same
46,174,Open
47,101,Random
48,91,Plus
49,218,Same Wall
50,2,Open
51,121,Random
52,152,Sudden Death
53,204,Same Wall
54,227,Elemental
55,26,Open
56,118,Random
57,142,Sudden Death
58,95,Plus
59,217,Same Wall
60,153,Sudden Death
61,143,Sudden Death
62,31,Open
63,63,Same
64,54,Same
65,238,Elemental
66,67,Plus
67,120,Random
68,77,Plus
69,13,Open
70,250,Elemental
71,190,Open
72,166,Open
73,218,Same Wall
74,228,Elemental
75,134,Sudden Death
76,142,Sudden Death
77,220,Same Wall
78,41,Same
79,109,Random
80,78,Plus
81,255,Elemental
82,86,Plus
83,225,Elemental
84,112,Random
85,32,Same
86,251,Elemental
87,143,Sudden Death
88,177,Open
89,88,Plus
90,5,Open
91,144,Sudden Death
92,197,Same Wall
93,9,Open
94,220,Same Wall
95,83,Plus
96,205,Same Wall
97,170,Open
98,59,Same
99,72,Plus
100,153,Sudden Death
101,82,Plus
102,211,Same Wall
103,82,Plus
104,157,Sudden Death
105,6,Open
106,159,Sudden Death
107,234,Elemental
108,181,Open
109,194,Same Wall
110,6,Open
111,19,Open
112,152,Sudden Death
113,73,Plus
114,178,Open
115,1,Open
116,30,Open
117,172,Open
118,50,Same
119,136,Sudden Death
120,49,Same
121,156,Sudden Death
122,82,Plus
123,70,Plus
124,149,Sudden Death
125,113,Random
126,54,Same
127,143,Sudden Death
128,87,Plus
129,246,Elemental
130,57,Same
131,29,Open
132,22,Open
133,250,Elemental
134,136,Sudden Death
135,116,Random
136,245,Elemental
137,152,Sudden Death
138,124,Random
139,23,Open
140,92,Plus
141,65,Plus
142,187,Open
143,109,Random
144,113,Random
145,142,Sudden Death
146,15,Open
147,112,Random
148,89,Plus
149,199,Same Wall
150,1,Open
151,27,Open
152,47,Same
153,51,Same
154,61,Same
155,145,Sudden Death
156,192,Same Wall
157,29,Open
158,165,Open
159,13,Open
160,13,Open
161,171,Open
162,51,Same
163,141,Sudden Death
164,126,Random
165,94,Plus
166,143,Sudden Death
167,62,Same
168,230,Elemental
169,104,Random
170,116,Random
171,166,Open
172,58,Same
173,177,Open
174,195,Same Wall
175,147,Sudden Death
176,17,Open
177,168,Open
178,100,Random
179,199,Same Wall
180,219,Same Wall
181,202,Same Wall
182,224,Elemental
183,96,Random
